"artist_name";"artist_id";"album_id";"album_release_date";"album_release_year";"danceability";"energy";"key";"loudness";"mode";"speechiness";"acousticness";"instrumentalness";"liveness";"valence";"tempo";"track_id";"time_signature";"duration_ms";"explicit";"track_name";"track_number";"track_uri";"album_name";"key_name";"mode_name";"key_mode"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"1NAmidJlEaVgA3MpcPFYGq";"2019-08-23";2019;0,777;0,658;0;-5,191;1;0,054;0,0767;0;0,0901;0,633;110,048;"3RauEVgRgj1IuWdJ9fDs70";4;190360;FALSE;"The Man";4;"spotify:track:3RauEVgRgj1IuWdJ9fDs70";"Lover";"C";"major";"C major"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"1NAmidJlEaVgA3MpcPFYGq";"2019-08-23";2019;0,292;0,574;0;-9,375;1;0,0401;0,12;0,00569;0,0663;0,166;124,344;"3pHkh7d0lzM2AldUtz2x37";4;211240;FALSE;"The Archer";5;"spotify:track:3pHkh7d0lzM2AldUtz2x37";"Lover";"C";"major";"C major"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"1NAmidJlEaVgA3MpcPFYGq";"2019-08-23";2019;0,897;0,366;0;-8,029;1;0,0569;0,00889;0,000353;0,0715;0,416;100,003;"2YWtcWi3a83pdEg3Gif4Pd";4;173386;FALSE;"I Think He Knows";6;"spotify:track:2YWtcWi3a83pdEg3Gif4Pd";"Lover";"C";"major";"C major"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"1NAmidJlEaVgA3MpcPFYGq";"2019-08-23";2019;0,662;0,747;11;-6,926;0;0,0736;0,028;0,00615;0,138;0,487;150,088;"214nt20w5wOxJnY462klLw";4;234146;FALSE;"Miss Americana & The Heartbreak Prince";7;"spotify:track:214nt20w5wOxJnY462klLw";"Lover";"B";"minor";"B minor"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"1NAmidJlEaVgA3MpcPFYGq";"2019-08-23";2019;0,811;0,719;9;-6,553;1;0,0497;0,0129;1,36e-05;0,0742;0,865;103,979;"4y5bvROuBDPr5fuwXbIBZR";4;222400;FALSE;"Paper Rings";8;"spotify:track:4y5bvROuBDPr5fuwXbIBZR";"Lover";"A";"major";"A major"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"1NAmidJlEaVgA3MpcPFYGq";"2019-08-23";2019;0,824;0,624;0;-9,728;1;0,0827;0,781;0,000189;0,1;0,248;102,012;"12M5uqx0ZuwkpLp5rJim1a";4;287266;FALSE;"Cornelia Street";9;"spotify:track:12M5uqx0ZuwkpLp5rJim1a";"Lover";"C";"major";"C major"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"1NAmidJlEaVgA3MpcPFYGq";"2019-08-23";2019;0,712;0,732;4;-6,754;1;0,0629;0,454;0;0,319;0,313;94,071;"2dgFqt3w9xIQRjhPtwNk3D";4;198533;FALSE;"Death By A Thousand Cuts";10;"spotify:track:2dgFqt3w9xIQRjhPtwNk3D";"Lover";"E";"major";"E major"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"1NAmidJlEaVgA3MpcPFYGq";"2019-08-23";2019;0,695;0,71;1;-6,639;1;0,05;0,0246;0,000104;0,133;0,557;157,925;"1LLXZFeAHK9R4xUramtUKw";4;190240;FALSE;"London Boy";11;"spotify:track:1LLXZFeAHK9R4xUramtUKw";"Lover";"C#";"major";"C# major"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"1NAmidJlEaVgA3MpcPFYGq";"2019-08-23";2019;0,433;0,182;0;-12,566;1;0,0641;0,907;0;0,123;0,421;207,476;"4AYtqFyFbX0Xkc2wtcygTr";4;201586;FALSE;"Soon You’ll Get Better (feat. The Chicks)";12;"spotify:track:4AYtqFyFbX0Xkc2wtcygTr";"Lover";"C";"major";"C major"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"1NAmidJlEaVgA3MpcPFYGq";"2019-08-23";2019;0,739;0,32;11;-10,862;0;0,239;0,736;0,000147;0,111;0,351;79,97;"5hQSXkFgbxjZo9uCwd11so";4;200306;FALSE;"False God";13;"spotify:track:5hQSXkFgbxjZo9uCwd11so";"Lover";"B";"minor";"B minor"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"1NAmidJlEaVgA3MpcPFYGq";"2019-08-23";2019;0,771;0,671;2;-5,617;1;0,0553;0,00929;0;0,0637;0,714;85,026;"6RRNNciQGZEXnqk8SQ9yv5";4;171360;FALSE;"You Need To Calm Down";14;"spotify:track:6RRNNciQGZEXnqk8SQ9yv5";"Lover";"D";"major";"D major"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"1NAmidJlEaVgA3MpcPFYGq";"2019-08-23";2019;0,756;0,449;9;-8,746;1;0,0344;0,13;0;0,114;0,399;111,011;"1SymEzIT3H8UZfibCs3TYi";4;223293;FALSE;"Afterglow";15;"spotify:track:1SymEzIT3H8UZfibCs3TYi";"Lover";"A";"major";"A major"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"1NAmidJlEaVgA3MpcPFYGq";"2019-08-23";2019;0,61;0,83;0;-4,105;1;0,0571;0,033;0;0,118;0,728;182,162;"2Rk4JlNc2TPmZe2af99d45";4;193000;FALSE;"ME! (feat. Brendon Urie of Panic! At The Disco)";16;"spotify:track:2Rk4JlNc2TPmZe2af99d45";"Lover";"C";"major";"C major"
